image_id,wall_type,indoor,description_en,description_bn,color_idea
image_011,brick_wall,1,"Decoration for a cricket league event. Components used include a central event banner, paper cutouts of a batsman, bat, wickets, computer monitor, circuit board, trophy, and motivational slogan banners ('Out on Top', 'No Risk! No Gain!'). Materials used consist of a printed vinyl banner, colored paper cutouts, cardstock, and adhesive tape mounted on an indoor red brick wall.","একটি ক্রিকেট লীগ টুর্নামেন্টের জন্য তৈরি দেয়াল সজ্জা। এতে রয়েছে একটি প্রধান ব্যানার, ব্যাটসম্যান, ব্যাট, উইকেট, কম্পিউটার মনিটর, ট্রফি এবং উদ্বুদ্ধকরণ বাক্য সংবলিত কাগজের কাটআউট। উপকরণ হিসেবে প্রিন্ট করা ভিনাইল ব্যানার, রঙিন কাগজ, কার্ডস্টক এবং আঠা ব্যবহার করে লাল ইটের দেওয়ালে সাঁটানো হয়েছে।","blue, yellow, pink, green"
image_012,brick_wall,1,"Wall decoration for an indoor football tournament. Components used include a central miniature football pitch board with a 3D mini football, a surrounding cluster of colorful inflated balloons, paper chain garlands hanging overhead, and an event poster below. Materials used include a painted board, latex balloons, paper chain links, and a printed paper poster on a red brick wall.","একটি ইনডোর ফুটবল টুর্নামেন্টের জন্য তৈরি দেয়াল সজ্জা। এতে থ্রিডি মিনি ফুটবলসহ একটি ছোট ফুটবল মাঠের বোর্ড, চারপাশে রঙিন বেলুনের ক্লাস্টার, ওপরে ঝোলানো কাগজের শিকল এবং নিচে একটি ইভেন্ট পোস্টার ব্যবহার করা হয়েছে। উপকরণ হিসেবে পেইন্ট করা বোর্ড, ল্যাটেক্স বেলুন, রঙিন কাগজ এবং পোস্টার পেপার ব্যবহার করা হয়েছে।","green, pink, yellow, purple"
image_013,brick_wall,1,"Decoration for a traditional attire cultural day ('Saree Punjabi Dibosh'). Components used include Bengali paper typography arranged diagonally, multi-layered paper chain garlands draped overhead, and pinwheel paper flower rosettes on the sides. Materials used include white paper cutouts, colored paper chain links, and folded paper flower rosettes on a red brick wall.","ঐতিহ্যবাহী পোশাক উদযাপন দিবসের ('শাড়ি পাঞ্জাবি দিবস') জন্য তৈরি সজ্জা। এতে কোনাকুনি সাজানো বাংলা অক্ষরের কাটআউট, ওপরে স্তরযুক্ত কাগজের শিকল এবং দুই পাশে কাগজের তৈরি ফুল ব্যবহার করা হয়েছে। উপকরণ হিসেবে সাদা কাগজ, রঙিন চেইন লিংক এবং ভাঁজ করা কাগজের ফুল ব্যবহার করা হয়েছে।","white, yellow, pink, blue"
image_014,bulletin_board,0,"Photo arch and stage backdrop setup for an Inter-University Programming Contest. Components used include a large circular gear-shaped backdrop frame, a central contest poster, overhead binary code string garlands (1s and 0s), balloon accents, and a gold champion trophy placed on a red cloth-draped pedestal. Materials used include a cutout foam board frame, fabric drape, printed signage, latex balloons, and a metallic trophy in an outdoor corridor.","একটি প্রোগ্রামিং প্রতিযোগিতার জন্য তৈরি ফটোবুথ এবং মঞ্চ সজ্জা। এতে একটি বড় গিয়ার আকৃতির ব্যাকড্রপ ফ্রেম, প্রধান পোস্টার, মাথার ওপরে বাইনারি কোড যুক্ত মালা, বেলুন এবং লাল কাপড়ে ঢাকা মঞ্চে চ্যাম্পিয়ন ট্রফি রাখা হয়েছে। উপকরণ হিসেবে ফোম বোর্ড, কাপড়, সায়নেজ, বেলুন এবং মেটালিক ট্রফি ব্যবহার করা হয়েছে।","green, red, gold, white"
image_015,brick_wall,1,"Sports-themed wall display honoring the Spain national football team. Components used include cutout letters spelling 'SPAIN', national flags, a gold World Cup trophy replica cutout, paper mini footballs, and action photos of team players. Materials used comprise paper cutouts, printed photo paper, cardstock, and adhesive mounted on a red brick wall.","স্পেন জাতীয় ফুটবল দলকে উৎসর্গ করে তৈরি একটি খেলাধুলা-বিষয়ক দেয়াল সজ্জা। এতে 'SPAIN' লেখা অক্ষরের কাটআউট, জাতীয় পতাকা, বিশ্বকাপের সোনালী ট্রফির রেপ্লিকা কাটআউট, মিনি ফুটবল এবং খেলোয়াড়দের ছবি ব্যবহৃত হয়েছে। উপকরণ হিসেবে কাগজের কাটআউট, প্রিন্ট করা ছবি এবং কার্ডস্টক ব্যবহার করা হয়েছে।","red, yellow, brown, white"
image_016,brick_wall,1,"Football legacy and tournament themed photobooth wall display. Components used include a large green goalpost frame cutout, 3D lettering reading 'LEGACY LOADING...', five stars, a World Cup logo emblem, mascot figures, and action photos of iconic football moments. Materials used consist of painted foam board, glitter paper, printed photo sheets, and paper cutouts on a red brick wall.","ফুটবলের ইতিহাস ও টুর্নামেন্ট কেন্দ্রিক ফটোবুথ দেয়াল সজ্জা। এতে বড় সবুজ গোলপোস্ট ফ্রেম, 'LEGACY LOADING...' লেখা থ্রিডি অক্ষর, পাঁচটি তারা, বিশ্বকাপের লোগো, মাসকট এবং বিখ্যাত ফুটবল মুহূর্তের ছবি ব্যবহার করা হয়েছে। উপকরণ হিসেবে পেইন্ট করা ফোম বোর্ড, গ্লিটার পেপার এবং প্রিন্ট করা ছবি ব্যবহৃত হয়েছে।","green, black, yellow, red"
image_017,brick_wall,1,"Sports theme wall display dedicated to the Portugal national football team. Components used include a paper tree structure with green and yellow leaves, 'PORTUGAL' pennant flags, mini football banners, and photo prints of key players and team moments. Materials used include colored paper leaves, a paper tree trunk cutout, printed photo paper, and string pennants on a red brick wall.","পর্তুগাল ফুটবল দলকে উৎসর্গ করে তৈরি একটি দেয়াল সজ্জা। এতে সবুজ ও হলুদ পাতার একটি কাগজের গাছ, 'PORTUGAL' লেখা পতাকা, মিনি ফুটবল ব্যানার এবং খেলোয়াড়দের ছবি ব্যবহৃত হয়েছে। উপকরণ হিসেবে রঙিন কাগজ, গাছের কাণ্ডের কাটআউট, ছবি এবং সুতার তৈরি ব্যানার ব্যবহার করা হয়েছে।","green, yellow, brown, red"
image_018,brick_wall,1,Wall display showcasing group study tour memory photographs. Components used include five printed group tour photos arranged in a cross layout alongside handwritten batch and location code text labels. Materials used are glossy photo print paper with white matted borders taped directly onto an indoor red brick wall.,স্টাডি ট্যুরের স্মৃতি তুলে ধরার জন্য তৈরি ফটো ডিসপ্লে। এতে ক্রস প্যাটার্নে সাজানো পাঁচটি গ্রুপ ছবি এবং পাশে হাতে লেখা ব্যাচ ও লোকেশন কোড সংবলিত টেক্সট রয়েছে। উপকরণ হিসেবে সাদা বর্ডারযুক্ত গ্লসি ফটো পেপার ব্যবহার করা হয়েছে।,"red, white, blue, green"
image_019,brick_wall,1,"Sports fan wall decoration dedicated to the Argentina national football team. Components used include arched blue paper lettering spelling 'ARGENTINA', miniature national flags, a World Cup trophy cutout, a soccer ball cutout, and printed photos of victory celebrations. Materials used comprise paper cutouts, gold cardstock, printed photo sheets, and adhesive mounted on a red brick wall.","আর্জেন্টিনা ফুটবল দলকে উৎসর্গ করে তৈরি একটি সজ্জা। এতে ধনুকাকারে সাজানো আকাশী নীল রঙ্গের 'ARGENTINA' লেখা, ছোট জাতীয় পতাকা, বিশ্বকাপের ট্রফির কাটআউট, ফুটবল এবং বিজয়ের উদযাপনের ছবি ব্যবহার করা হয়েছে। উপকরণ হিসেবে রঙিন কাগজ, সোনালী কার্ডস্টক এবং ছবি প্রিন্ট ব্যবহার করা হয়েছে।","light blue, white, yellow, red"
image_020,brick_wall,1,"Football tournament event wall decoration ('Until The Final Whistle'). Components used include a goal net structure, a silhouette cutout of a player kicking a ball, a grass strip cutout, 3D title text blocks, and multiple football club logo sheets. Materials used consist of string mesh netting, black foam board silhouettes, paper grass cutouts, foam lettering, and printed logo prints on a red brick wall.","ফুটবল টুর্নামেন্ট উপলক্ষে তৈরি দেয়াল সজ্জা। এতে গোলপোস্টের জাল, বল শট করা খেলোয়াড়ের সিলুয়েট কাটআউট, ঘাসের স্ট্রিপ, থ্রিডি শিরোনাম এবং বিভিন্ন ফুটবল ক্লাবের লোগো ব্যবহার করা হয়েছে। উপকরণ হিসেবে সুতার জাল, কালো ফোম বোর্ড, সবুজ কাগজ এবং প্রিন্ট করা লোগো ব্যবহার করা হয়েছে।","black, white, green, red"
image_021,brick_wall,1,"Memory photo display wall for a student batch milestone with batch name in cutout letters. Components used include white 3D title text, multiple group and event photo prints with white matted borders, and handwritten names/labels written directly on the wall bricks. Materials used consist of white 3D foam lettering, glossy photo paper prints, adhesive tape, and chalk/marker lettering on an indoor red brick wall.","একটি শিক্ষার্থী ব্যাচের মাইলফলক উদযাপনের জন্য তৈরি স্মৃতিচিত্র সম্বলিত ফটো ওয়াল। এতে 'TORITTAN 49' লেখা সাদা থ্রিডি অক্ষর, সাদা বর্ডারযুক্ত বিভিন্ন গ্রুপ ও অনুষ্ঠানের ছবি এবং ইটের ওপর হাতে লেখা নাম ও লেবেল ব্যবহার করা হয়েছে। উপকরণ হিসেবে থ্রিডি ফোমের অক্ষর, গ্লসি ফটো পেপার, অ্যাডহেসিভ টেপ এবং চক/মার্কার দিয়ে লাল ইটের দেওয়ালে সাঁটানো হয়েছে।","white, red, blue, brown"
image_022,wooden_wall,1,"Bengali cultural event photobooth backdrop setup. Components used include a large circular backdrop panel featuring white and yellow Alpana art, an arch of hand-painted bamboo winnowing fans (kula) displaying folk paintings, draped red and white fabric, artificial indoor plants, a red flower vase, small seating stools, and red floor carpeting. Materials used consist of printed fabric backdrop, hand-painted bamboo winnowing fans, draped cotton/silk fabric, ceramic and metallic vases, wooden stools, and red floor matting.","বাঙালি সাংস্কৃতিক অনুষ্ঠানের জন্য তৈরি ফটোবুথ ব্যাকড্রপ। এতে সাদা ও হলুদ আলপনা নকশা সংবলিত একটি বড় গোলাকার ব্যাকড্রপ প্যানেল, লোকজ চিত্র আঁকা বাঁশের কুলার অর্ধবৃত্তাকার তোরণ, লাল ও সাদা কাপড়ের ড্র্যাপারি, কৃত্রিম গাছ, লাল ফুলের ফুলদানি, ছোট বসার টুল এবং লাল রঙের গালিচা ব্যবহার করা হয়েছে। উপকরণ হিসেবে প্রিন্ট করা কাপড়ের ব্যাকড্রপ, হাতে আঁকা বাঁশের কুলা, সুতি ও রেশমি কাপড়, সিরামিক ও ধাতব ফুলদানি, কাঠের টুল এবং ফ্লোর ম্যাট ব্যবহৃত হয়েছে।","red, white, yellow, green"
image_023,wooden_wall,1,"Lunar New Year decorative entrance portal and photobooth backdrop. Components used include a freestanding red door-frame arch, pleated paper fans of varying sizes, a hanging red paper lantern, a gold geometric fretwork lattice panel, and floral paper cards. Materials used include painted wooden/cardboard frame structures, accordion-folded red and craft paper fans, paper lantern, foil cardstock lattice cutout, and printed graphic cards.","লুনার নিউ ইয়ারের জন্য তৈরি একটি আলংকারিক প্রবেশদ্বার এবং ফটোবুথ ব্যাকড্রপ। এতে একটি লাল ফ্রেমের দরজার খিলান, বিভিন্ন আকারের ভাঁজ করা কাগজের পাখা, একটি ঝুলন্ত লাল ফানুস, সোনালী জ্যামিতিক নকশার প্যানেল এবং ফুলের নকশা সংবলিত কার্ড ব্যবহার করা হয়েছে। উপকরণ হিসেবে পেইন্ট করা কাঠের/কার্ডবোর্ডের ফ্রেম, লাল ও ক্রাফট পেপারের তৈরি পাখা, কাগজের লণ্ঠন এবং গ্লিটার কার্ডস্টক ব্যবহার করা হয়েছে।","red, gold, yellow, white"
image_024,painted_wall,1,"Traditional spring festival cultural wall display installation. Components used include woven bamboo flat discs (mẹt), a central red diamond banner with calligraphy, traditional bamboo conical hats (nón lá), large red pleated paper fan rosettes, artificial red and cream peonies, and hanging silk tassels. Materials used include hand-woven bamboo discs, miniature bamboo hats, folded heavy paper fans, fabric artificial flowers, cardstock calligraphy diamond, and silk cord tassels mounted on a textured interior wall.","ঐতিহ্যবাহী বসন্ত উৎসবের জন্য তৈরি দেয়াল সজ্জা। এতে বাঁশের তৈরি চাটই বা ডালা (মেট), ক্যালিগ্রাফিযুক্ত লাল ডায়মন্ড ব্যানার, ঐতিহ্যবাহী বাঁশের টুপি (নন লা), লাল পাখা, কৃত্রিম লাল ও ক্রিম রঙের ফুল এবং রেশমি সুতার ঝুলন্ত ট্যাসেল ব্যবহার করা হয়েছে। উপকরণ হিসেবে বাঁশের ডালা, ছোট বাঁশের টুপি, ভাজ করা রঙিন কাগজ, কাপড়ের তৈরি কৃত্রিম ফুল এবং রেশমি সুতার ট্যাসেল দেওয়ালে সাঁটানো হয়েছে।","red, beige, brown, cream"
image_025,backdrop_board,1,"Traditional Mid-Autumn Festival ('Tết Trung Thu') photobooth backdrop setup. Components used include a central circular moon-and-rabbit backdrop board, red fabric draped side curtains, traditional paper lanterns (star, lotus, butterfly shapes), a lion dance head mask replica, tea set on a yellow tablecloth-covered stand, and wooden seating. Materials used comprise draped red fabric, woven bamboo mats, paper lanterns, plush lion head prop, ceramic tea set, wooden stools, and printed backdrop board.","ঐতিহ্যবাহী মধ্য-শরৎ উৎসবের (মিড-অটাম ফেস্টিভ্যাল) জন্য তৈরি ফটোবুথ ব্যাকড্রপ। এতে চাঁদ ও খরগোশ অঙ্কিত একটি গোলাকার বোর্ড, দুই পাশে ঝুলানো লাল কাপড়ের পর্দা, ঐতিহ্যবাহী কাগজের ফানুস ও হারিকেন (তারা, পদ্ম ও প্রজাপতি আকৃতির), একটি লায়ন ড্যান্সের মুখোশ, হলুদ কাপড়ে ঢাকা টেবিলে রাখা চা পরিবেশন সেট এবং কাঠের টুল ব্যবহার করা হয়েছে। উপকরণ হিসেবে লাল কাপড়, বাঁশের পার্টি, কাগজের লণ্ঠন, প্লাশ লায়ন হেড, সিরামিক চা সেট এবং কাঠের টুল ব্যবহৃত হয়েছে।","red, yellow, white, brown"
image_026,painted_wall,1,"Bengali New Year ('Pohela Boishakh') folk art decorative photo board setup. Components used include hand-painted folk masks depicting tigers, owls, and elephants, a central woven bamboo winnowing fan (kula) inscribed with traditional Bengali calligraphy ('Shubho Noboborsho'), a multi-colored paper pinwheel, and a miniature folk drum (damru) on a wooden stool in front. Materials used consist of painted paper-mâché/cardstock masks, woven bamboo kula, colored paper pinwheel, wooden stool, and painted clay drum props.","পহেলা বৈশাখ উপলক্ষে তৈরি লোকশিল্পভিত্তিক আলংকারিক ফটো বোর্ড। এতে বাঘ, পেঁচা ও হাতির হাতে আঁকা লোকজ মুখোশ, 'শুভ নববর্ষ' লেখা একটি বাঁশের কুলা, রঙিন কাগজের চরকি এবং সামনে কাঠের টুলের ওপর রাখা একটি ছোট ডুগডুগি/ডমরু ব্যবহার করা হয়েছে। উপকরণ হিসেবে পেপার-ম্যাশ/কার্ডস্টকের মুখোশ, বাঁশের কুলা, রঙিন কাগজ, কাঠের টুল এবং মাটির তৈরি খেলনা ডমরু ব্যবহৃত হয়েছে।","red, yellow, blue, green"
image_027,wooden_wall,0,"Backdrop decoration for a traditional festival . Components used include large vertical display panels with white line art depicting traditional cooking utensils and rural motifs, a diamond-shaped glitter art board, hand-painted traditional clay pots (matkas/handis) lined on the floor, and patterned carpet flooring. Materials used comprise painted backdrop boards, glitter panel, hand-painted terracotta clay pots, printed fabric covers, and venue carpeting.","ঐতিহ্যবাহী মেলার জন্য তৈরি ফটোবুথ ও স্টেজ ব্যাকড্রপ। এতে ঐতিহ্যবাহী রান্নার হাঁড়িপাতিল ও গ্রামীণ দৃশ্য সংবলিত বড় ডিসপ্লে প্যানেল, ডায়মন্ড আকৃতির গ্লিটার আর্ট বোর্ড, মেঝেতে রাখা হাতে আঁকা রঙিন মাটির হাঁড়ি/মটকা এবং নকশাদার কার্পেট ব্যবহার করা হয়েছে। উপকরণ হিসেবে পেইন্ট করা ব্যাকড্রপ বোর্ড, গ্লিটার প্যানেল, টেরাকোটা মাটির পাতিল এবং কার্পেট ব্যবহার করা হয়েছে।","red, yellow, orange, blue"
image_028,painted_wall,0,"Folk art exhibition wall display featuring hand-painted bamboo winnowing fans. Components used include a wooden grid frame structure holding fifteen hand-painted bamboo winnowing fans (kula) decorated with traditional folk motifs (owls, deities, lotus flowers, musical instruments, rural portraits), an orange backdrop curtain, and marigold flower garlands. Materials used consist of hand-painted woven bamboo winnowing fans, wooden lattice framework, orange fabric drape, and flower garlands.","হাতে আঁকা বাঁশের কুলার প্রদর্শনী দেয়াল সজ্জা। এতে একটি কাঠের গ্রিড ফ্রেমের মধ্যে ১৫টি হাতে আঁকা বাঁশের কুলা সাজানো হয়েছে, যেখানে পেঁচা, দেবী, পদ্মফুল, বাদ্যযন্ত্র ও গ্রামীণ প্রতিকৃতির মতো ঐতিহ্যবাহী লোকশিল্প আঁকা রয়েছে। পেছনে রয়েছে কমলা রঙের কাপড়ের পর্দা এবং গাঁদা ফুলের মালা। উপকরণ হিসেবে হাতে আঁকা বাঁশের কুলা, কাঠের ফ্রেম ও কাপড়ের পর্দা ব্যবহার করা হয়েছে।","yellow, orange, red, black"
image_029,painted_wall,1,"Wall decoration for Bengali New Year ('Shubho Noboborsho'). Components used include hand-drawn poster panels featuring traditional Bengali typography, year digits ('1429'), and intricate Alpana/Paisley (Kalka) folk motifs, surrounded by colorful folded paper fan rosettes and circular mirror accents. Materials used include white and colored poster paper, acrylic paints, folded paper fan rosettes, mini mirrors, and adhesive mounted on a green painted indoor wall.","বাংলা নববর্ষ উদযাপন উপলক্ষে তৈরি দেয়াল সজ্জা। এতে হাত দিয়ে আঁকা 'শুভ নববর্ষ ১৪২৯' লেখা পোস্টার, ঐতিহ্যবাহী আলপনা ও কলকা নকশা, চারপাশে রঙিন কাগজের তৈরি পাখা এবং ছোট ছোট আয়নার টুকরো ব্যবহার করা হয়েছে। উপকরণ হিসেবে আর্ট পেপার, এক্রিলিক পেইন্ট, ভাজ করা রঙিন কাগজ, আয়না এবং আঠা দিয়ে সবুজ রঙ্গের দেওয়ালে সাঁটানো হয়েছে।","red, green, yellow, white"
image_030,bulletin_board,1,"Bengali New Year festival decorative prop ('Shubho Noboborsho'). Components used include a large kite-shaped cutout board decorated with colorful glitter typography, folk drawings of a traditional drum (dhak) draped in floral motifs, and a lower peacock-tail tailpiece cutout. Materials used comprise lightweight white foam board, glitter powder, multi-colored paint.","পহেলা বৈশাখ উদযাপনের জন্য তৈরি ঘুড়ি আকৃতির আলংকারিক প্রপস। এতে 'শুভ নববর্ষ' লেখা রঙিন গ্লিটার টাইপোগ্রাফি, ঐতিহ্যবাহী ঢাকের লোকজ চিত্র এবং নিচে ময়ূরপুচ্ছের কাটআউট ব্যবহার করা হয়েছে। উপকরণ হিসেবে হালকা সাদা ফোম বোর্ড, গ্লিটার পাউডার, অ্যাক্রিলিক রঙ এবং কার্ডস্টক ব্যবহার করা হয়েছে।","white, blue, pink, yellow"
image_031,painted_wall,1,"Bengali New Year ('Pohela Boishakh') folk art poster illustration ('Esho He Boishakh'). Components used include a central winnowing fan (kula) motif inscribed with calligraphy, surrounded by traditional symbols such as a terracotta clay pot (matka), a folk drum (dhak), banana leaves, paper pinwheels (chorkhi), fish, birds, wheat stalks, and colorful bunting flags. Materials used include hand-drawn colored pencil, ink, and marker artwork on paper.","পহেলা বৈশাখ উপলক্ষে 'এসো হে বৈশাখ' লেখা লোকশিল্পভিত্তিক পোস্টার ইলাস্ট্রেশন। এতে মাঝখানে ক্যালিগ্রাফিযুক্ত কুলার নকশা এবং চারপাশে ঐতিহ্যবাহী মাটির হাঁড়ি, ঢাক, কলা পাতা, কাগজের চরকি, মাছ, পাখি, ধানের শীষ ও রঙিন পতাকা আঁকা হয়েছে। উপকরণ হিসেবে আর্ট পেপারে কালার পেন্সিল, কালি এবং মার্কার পেন দিয়ে হাত দিয়ে আঁকা হয়েছে।","yellow, red, green, brown"
image_032,brick_wall,1,"Folk-themed red brick wall decoration with mirror work. Components used include hand-painted arch-shaped wooden frames (jharokhas) and circular clay plates (shoras/matkas) decorated with small mirror pieces (shisha work) and colorful folk motifs including birds, owls, lotus flowers, and monuments. Materials used consist of painted wooden/cardboard frames, terracotta clay plates, craft mirrors, and acrylic paint mounted on an exposed red brick wall.","আয়নার কাজ সংবলিত লাল ইটের দেয়াল সজ্জা। এতে ছোট ছোট আয়না (শিশা ওয়ার্ক) এবং পাখি, পেঁচা, পদ্মফুল ও সৌধের চিত্রসহ হাতে আঁকা খিলান আকৃতির কাঠের ফ্রেম (ঝরোকা) ও গোলাকার মাটির সরা ব্যবহার করা হয়েছে। উপকরণ হিসেবে পেইন্ট করা কাঠের ফ্রেম, মাটির সরা, ক্রাফট মিরর এবং এক্রিলিক রঙ দিয়ে ইটের দেওয়ালে সাজানো হয়েছে।","red, pink, orange, green"
image_033,painted_wall,1,"Traditional musical instrument exhibition wall display. Components used include fifteen house-shaped wooden display plaques mounted on a grey wall, each holding a miniature replica of an Indian classical/folk musical instrument (sitar, tabla, ektara, flute, sarangi, harmonium, etc.) with printed name labels, along with two large painted terracotta folk drums placed on the floor below. Materials used comprise wooden plaque boards, fabric backing, miniature instrument props, printed labels, and hand-painted clay drums.","ঐতিহ্যবাহী বাদ্যযন্ত্রের প্রদর্শনী দেয়াল সজ্জা। এতে ধূসর রঙের দেওয়ালে টাঙানো ১৫টি ঘরের আকৃতির কাঠের বোর্ড রয়েছে, যার প্রতিটিতে নামসহ বিভিন্ন লোকজ ও শাস্ত্রীয় বাদ্যযন্ত্রের (সেতার, তবলা, একতারা, বাঁশি, সারঙ্গি, হারমোনিয়াম ইত্যাদি) ছোট প্রতিকৃতি এবং নিচে মেঝেতে দুটি হাতে আঁকা বড় মাটির ঢাক/ঢোল রাখা হয়েছে। উপকরণ হিসেবে কাঠের প্যানেল, কাপড়ের ব্যাকগ্রাউন্ড, ছোট বাদ্যযন্ত্রের মডেল এবং হাতে আঁকা মাটির ঢোল ব্যবহৃত হয়েছে।","grey, yellow, brown, orange"
image_034,brick_wall,1,"Festive mirror-work jharokha and clay plate decorative installation on an indoor brick wall. Components used include brightly painted arched window frames (jharokhas) studded with small round craft mirrors and hand-painted clay plates featuring floral and geometric designs, including hanging tassel accents. Materials used consist of painted wooden frames, terracotta plates, craft mirrors, thread tassels, and acrylic paint on a red brick wall.","লাল ইটের দেওয়ালে আয়নার কাজ করা ঝরোকা ও মাটির সরার আলংকারিক সজ্জা। এতে ছোট ছোট আয়না বসানো উজ্জ্বল রঙের ঝরোকা ফ্রেম, হাতে আঁকা ফুল ও জ্যামিতিক নকশার মাটির সরা এবং ঝুলন্ত সুতার ট্যাসেল ব্যবহার করা হয়েছে। উপকরণ হিসেবে রঙিন কাঠের ফ্রেম, মাটির থালা/সরা, আয়নার টুকরো, ট্যাসেল এবং এক্রিলিক রঙ ব্যবহৃত হয়েছে।","red, pink, turquoise, yellow"
image_035,painted_wall,1,"Traditional window frame wall hanging with folk craft accents. Components used include an orange-painted six-grid wooden window frame lined with natural jute/burlap fabric, decorated inside with square hand-painted mandala tiles and green wooden parrot figures (tiya pakhi), featuring hanging painted terracotta bells at the bottom. Materials used comprise a painted wooden frame, jute burlap, hand-painted ceramic/wooden tiles, carved wooden bird figures, painted clay bells, and climbing ivy vines.","ঐতিহ্যবাহী লোকশিল্পের ছোঁয়া সংবলিত কাঠের জানালার ফ্রেমের দেয়াল সজ্জা। এতে পাট বা চটের কাপড়ের ব্যাকগ্রাউন্ডসহ একটি কমলা রঙের ছয়-ঘরের কাঠের জানালার ফ্রেম রয়েছে, যার ভেতরে হাতে আঁকা স্কয়ার মান্ডালা টাইলস এবং সবুজ কাঠের টিয়া পাখি এবং নিচে ছোট ছোট মাটির বেল বা ঘণ্টা ঝুলানো হয়েছে। উপকরণ হিসেবে কাঠের ফ্রেম, চটের কাপড়, হ্যান্ড-পেইন্টেড টাইলস, কাঠের পাখি, মাটির ঘণ্টা এবং লতা পাতা ব্যবহার করা হয়েছে।","orange, green, yellow, brown"
